Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
NLG,55876,112513,477122,706,[OJL;VAD;YSO]
WDL,88168,221827,879402,1589,[YSO;OQH;CZS;YCE]
FVQ,30461,49294,225697,256,[TZO]
KXH,48027,90845,393347,544,[YCE;IFZ]
QAY,65594,141998,588435,935,[IFZ;ILQ;WPS;PVH]
ZSD,97887,261077,1018621,1923,[XEC;PVH;LQF]
NNZ,57746,117958,497888,748,[LQF;YKB;QEB;AMQ;HQD;PXA]
SPR,75312,174420,708142,1196,[PXA;PJJ;BQU;HOY;VLE]
CHV,17605,24969,120383,110,[VLE;KQA;KFY;NUU]
XSI,92879,240485,945835,1747,[JNH]
HKN,35171,59493,267959,323,[NUU;WWE]
DUZ,20446,29902,142391,137,[WWE;FNA;XZF;BYP;WLD;UWX]
RPW,70305,157348,645415,1058,[KDX;UWX;WEM;FMM]
KZF,44890,82720,361394,485,[FMM;GKR;TZF;PQT]
FJS,30164,48674,223098,252,[PQT;KLX;NML;JWT]
KMJ,47730,90062,390284,538,[JWT;CMQ;VTW;WHC;AFW;XUE]
UEO,80023,191195,769192,1334,[KTV;XUE;YKC;ZHB]
DWT,22315,33284,157261,157,[ZHB;GYA;OME;XOK]
XTG,89741,227980,901364,1641,[IMK]
SDT,75015,173386,704359,1187,[XOK;JZI]
LNC,49600,95033,409697,575,[JZI;CNA;HTU;NAY;HJI;MSV]
HYP,34874,58830,265235,318,[MSV;UFE;TLO;DRG;CGA]
QQU,67167,147046,607240,975,[CGA;ZHC;BCQ;EJN]
EKQ,27026,42291,196120,211,[EJN;EXZ]
AVD,12300,16430,81207,66,[EXZ;TVB;BOZ;UNQ;LDB;QVF]
TFM,76885,179944,728306,1241,[MEP;QVF;WLK;XCM]
HAI,36744,63053,282511,347,[XCM;IAR;RCV]
DKV,22018,32739,154878,154,[RCV;YOW;MTZ;LFQ]
MCA,54310,108037,459971,672,[EPS]
RFR,71877,162624,664870,1100,[LFQ;KTG]
WHI,89444,226812,897199,1631,[KTG;YLB;NQJ;MHL;NSC;VAD]
GZN,31736,51987,236943,273,[VAD;CGN;ULV]
LCF,49303,94237,406592,569,[ANH;ULV;KNW]
ZWB,99162,266445,1037509,1969,[KNW;CKX;GKB]
EZS,26729,41703,193611,208,[GKB;OMY;CHW;UYY;HDX;IIE]
ORX,59021,121734,512227,777,[CVP;IIE;CDB;SQT]
TTO,76588,178895,724482,1232,[SQT;EFQ;WUZ;RHH;WBH;ZQR]
YWG,94154,245654,964156,1791,[TAT;ZQR;UYG;LZH]
FAL,28598,45451,209526,231,[NXP;LZH;WKC;JUU;NDL]
BLY,13872,18869,92555,78,[SER;NDL;NMW]
KDD,46165,85985,374275,509,[NMW;TKR;NHS;RLG;IUN]
GNP,31439,51355,234310,269,[IUN;ZWS]
YXZ,96024,253326,991285,1856,[AKG;ZWS;NLE]
UIM,81298,195854,786056,1372,[NLE;VWJ;LMO;YIY;YLK;RSZ]
OFZ,58724,120850,508874,770,[RSZ;RDJ;EAR;SDG;TWH]
XXE,91016,233024,919329,1684,[JFN]
GPJ,33309,55379,251015,295,[KQC]
LSA,50875,98486,423112,600,[TWH;HYD]
AMW,10734,14076,70121,54,[HYD;HMI;LDV]
VWJ,86009,213505,849612,1519,[CGP;LDV;QZT]
FPO,28301,44848,206976,227,[QZT;QGY;RHS;LZA;NTO;HWF]
YMB,95727,252100,986954,1846,[FXR;HWF;QLZ;RTC]
IEG,38019,65995,294469,367,[RTC;TAV;WBX;ATS;NFY;YQP]
DOT,23293,35097,165166,168,[YQP;LRS;IZH;YQX;GIN]
NGX,55586,111678,473929,700,[GIN;RZO;TOK;TRP]
SJP,73152,166960,680810,1135,[TRP;XXK]
BBU,15445,21386,104130,91,[XXK;CGI;QVF;QXU;YPI;TWN]
PVQ,65304,141075,584991,928,[TWN;BBI;NJF;RVC;HYK]
LGC,50578,97677,419974,594,[HYK;YOD;GIT;JEX;JWE]
VYH,82871,201670,807057,1420,[JWE;VPK;CXP;WML;DDG;PQN]
EQM,25163,38647,180517,189,[UUV;PQN]
AAY,10437,13639,68043,52,[PQN;ROQ;UJT]
OVV,60296,125560,526710,806,[UJT;KGY;WUU;HBS]
CPR,20155,29385,140104,134,[TGD]
ISI,37722,65305,291670,362,[HBS;FMZ]
RKN,70014,156380,641841,1050,[JES;FMZ;XGN;CDB;LEM]
FFJ,29874,48071,220568,248,[ZPC;LEM;CJV]
UZF,79733,190142,765377,1325,[CJV;YCH;YIH;SRV;YKT]
PJS,65007,140133,581472,921,[YKT;MDN]
ZCX,97299,258620,1009962,1902,[MDN;RBY;MJY;XOB]
EEO,24866,38076,178058,185,[TWV]
JHF,42433,76570,336980,441,[XOB;GNC]
SZK,74725,172378,700672,1179,[PPZ;GNC;VQA;NLD;BWF]
CRP,17017,23979,115918,104,[MFX;BWF;KEK]
XBC,92292,238122,937449,1727,[KEK;EEZ;SQB;AWN;DTE;NFH]
HTG,34584,58185,262584,314,[NFH;RWA;JGL;QCM]
MWY,52151,101990,436680,627,[OSX]
VOD,84443,207561,828268,1469,[UYM]
JIZ,44302,81232,355504,474,[QCM;RDJ]
FTL,29576,47455,217977,244,[CFC;RDJ;XRI]
UNH,79435,189064,761467,1316,[CEY;XRI]
ZQZ,97002,257382,1005598,1891,[XRI;HPA;VEY]
IIE,39295,68990,306579,388,[ORX;VEY;ECB]
WCA,89154,225674,893141,1621,[NKV;ECB;CXT;IDJ;XEW]
LXW,49013,93461,403569,563,[HYB;XEW;EAU]
ZSS,98872,265219,1033200,1958,[EAU;BAI;ZHA;NOH;TJV]
OMO,58731,120870,508953,770,[TJV;NMR]
JWB,44005,80484,352539,469,[NMR;YSU;DWT;FTC]
OZS,61572,129438,541346,837,[FTC;RCC]
YRX,93864,244474,959976,1781,[RCC;KOJ;PZM;FTH;VDQ;KXE]
MMT,53723,106379,453598,660,[QDI;KXE;ODU;WCF]
BGP,13582,18413,90445,76,[USZ;WCF]
WRC,88856,224509,888982,1612,[WCF;MAY;EWL]
GJH,31149,50741,231747,265,[EWL;CDQ;FVY;MPF]
PBM,63441,135212,563051,882,[IMT]
ZGU,98575,263967,1028794,1948,[MPF;SKU]
EIM,26141,40547,188670,201,[SKU;EMJ;COR;XNC;ARO;WNP]
TDI,76000,176827,716936,1216,[WNP;QJK;WZH;SPZ;XKY]
CVN,18293,26140,125647,116,[XKY;SOJ;OGL;ITC;ZTC]
QPJ,68152,150247,619130,1001,[ZTC;VXI]
MAV,53426,105544,450384,653,[NZC;VXI]
FKF,28011,44262,204494,224,[YWC;VXI]
AUS,13285,17949,88292,73,[VXI;ZLF;JUF]
KMW,45578,84475,368327,498,[LEL;JUF;NLM]
TFB,77870,183443,741047,1270,[NLM;PJP;XEN;UWO;RCM;WGJ]
PPO,63144,134288,559581,875,[WGJ;WJV;UJF;BYH;HUM]
DJK,23003,34556,162813,164,[HUM;RFW;IDS;ILF]
IMB,40570,72033,318826,409,[NXS;ILF;ZKG;WZK]
SEG,72862,165969,677172,1127,[WZK;OGT;KCJ]
GZC,32721,54102,245730,287,[KCJ;GNC;HJR;DEY]
QEL,67855,149278,615535,993,[DEY;PGL]
AWQ,10147,13214,66022,50,[PGL;CZT;SAJ;URQ;GHD;NLI]
KBZ,45280,83714,365320,492,[NLI;UGV;XHL]
TTD,77573,182385,737196,1261,[XHL;TQB;CAB;DTY]
MQR,54999,109997,467489,687,[KDF;DTY;XSS;TRG;FWD]
GNE,32424,53461,243071,283,[FWD;XKK;TVR;DVZ]
UHB,82283,199488,799182,1402,[DVZ;IWE;DQQ;OTH]
EZF,24576,37521,175665,182,[OTH;LXQ]
ZKS,99850,269362,1047761,1994,[LXQ;NOH;LFX;MYO]
JCX,42142,75855,334125,436,[KHA]
SUB,74435,171373,696993,1171,[MYO;EAG]
MRP,51861,101189,433583,621,[VED;EAG;TYZ;EIF;VBZ]
HBC,37135,63950,286162,353,[VBZ;CJG;LJZ]
AML,11720,15549,77075,61,[LJZ;KQP]
KRU,46853,87768,381286,522,[KQP;YBH;EHP;OWO;TRC;DIZ]
TJZ,79145,188016,757666,1307,[DIZ;DLW;LVV;QGU;YHS]
EOI,24279,36955,173221,179,[YHS;QVK;XBQ;DMZ;LVP]
NGM,56571,114524,484804,721,[LVP;GFG]
XLV,91704,235767,929082,1707,[GFG;WNP;GSG]
GDA,33997,56886,257239,305,[GSG;UKF;WBY;JGA]
AAN,11422,15101,74965,59,[NQF]
OUK,61282,128552,538006,830,[YUR]
YMO,93574,243296,955804,1771,[JGA;YMX]
TXB,78848,186946,753782,1299,[YMX;QUC;WXM;ILH]
DPG,21141,31147,147884,144,[ILH;KUB]
MHK,53433,105564,450460,653,[KUB;SNP;OBF;VWG;IFU;OLQ]
NUO,56274,113663,481516,715,[OLQ;VEV;AUR;FJD;LEA]
GEY,30859,50129,229192,261,[LEA;NSS;IPR;PGK]
BOL,16133,22512,109262,97,[PGK;WFE]
UZU,80718,193728,778366,1354,[WFE;KHU;SDJ;FYQ;CGO;HKQ]
QJH,65992,143268,593172,945,[HKQ;TAP;KBK;HSL;TVQ]
VMY,83559,204239,816312,1442,[GIK;TVQ;YYQ]
EED,25851,39980,186243,197,[YYQ;JZY;RMA;EAJ;IUH;CEY]
NWI,58144,119131,502348,757,[CEY;BHY;PBS;TQB;AVT]
YBR,93277,242093,951538,1761,[PHT]
HTV,35569,60387,271620,329,[AVT;POZ]
RYE,70703,158676,650319,1068,[POZ;LRU;FSP;LWM]
AQJ,12995,17499,86197,71,[YCI;LWM;EBN;AWB;IYQ]
LVS,48128,91111,394390,546,[IYQ;SOW;EOI;CJX]
UNW,80421,192643,774440,1345,[GDL;CJX;ZRW]
IHT,40280,71336,316028,404,[ZRW;POW;QJB;JVT;AKS;UJR]
SZX,72572,164981,673541,1119,[TVH;UJR;PNI;WYJ]
NKK,57846,118253,499010,750,[WYJ;KJW;XUM;BCK;XNX;EHP]
HHX,35272,59720,268886,324,[EHP;MCO]
QZC,67565,148335,612033,986,[MCO;FKA;YTC;KHS;BBR;GJH]
AEL,12698,17040,84059,69,[GJH;IBU;ZNO;ARW;KKE]
KWQ,44990,82975,362400,487,[KKE;XLR;BFX;IDV;ADR]
YRM,94849,248493,974203,1815,[ADR;SJD]
HJR,37142,63966,286228,353,[SJD;GGG;SAB]
IWV,39983,70626,313170,399,[SAB;NWO;VSI;PWX]
ROA,72275,163972,669830,1111,[PWX;RHJ]
BGE,14567,19972,97642,83,[TLL;RHJ;BSI]
LLN,49701,95305,410753,577,[BSI;JFV;OBF]
UDS,81993,198414,795309,1393,[ZDT]
EIB,27126,42490,196967,213,[OBF;TDR]
OAF,59419,122922,516732,786,[MHF;TDR;RRT;HYU;MDS]
YFO,94552,247278,969904,1805,[MDS;GMG;PTC;GCC]
HXT,36845,63284,283452,349,[GCC;JDF]
BUH,14270,19499,95463,81,[TVR;JDF]
KML,46563,87015,378325,516,[JDF;YIR;UIF]
URU,81696,197318,791349,1384,[UIF;CKO;LQY;EON]
EJZ,23988,36404,170836,175,[EON;KMC]
SEV,73848,169347,689569,1155,[NBE;KMC;NPO;VEM;BIU]
CJE,18981,27327,130953,123,[BIU;ZJB;USZ;MYF]
LBJ,51273,99574,427329,609,[MYF;KZI]
WGR,86406,215025,855062,1532,[FKX;KZI;UPS]
FYW,28699,45656,210394,232,[UPS;HEF;EAJ]
OQB,60991,127666,534665,823,[EAJ;TXL;VOZ;QHM;KNE;BSL]
YVK,96125,253743,992758,1860,[BSL;MZC;PUW;UKY;PDV]
INO,38417,66924,298231,374,[TXM]
SSX,73550,168324,685815,1146,[PDV;PZB]
BKC,15843,22035,107093,94,[PZB;IXX;OWI;OID]
LPL,50976,98761,424180,603,[OID;IVP]
VHQ,83269,203154,812405,1433,[IVP;OFC;XTK;MKD;JUD;SFM]
EZU,25561,39416,183825,194,[WLO;SFM;LKX;VKL]
OED,60694,126764,531260,816,[VKL;BBQ;GGR]
XWI,92987,240921,947381,1751,[GGR;CBA;JQX;VDG]
RTV,70412,157705,646735,1061,[VDG;YQK]
WWN,87979,221092,876777,1583,[URQ;YQK;VUY;GOM;YNI]
FOS,30271,48898,224034,253,[UFB;YNI;JYI]
QTA,65405,141396,586189,930,[JYI;UDO;NFD;GFV;UST;GHR]
ZLF,97697,260282,1015821,1916,[SWF;GHR;PRW]
JQO,42830,77552,340890,448,[PRW;VUL;BYJ;XLR;HNK;AGM]
SIT,75123,173761,705733,1190,[AGM;QGD;AIF;QJJ;GTO]
CAX,17415,24648,118937,108,[GTO;UVA]
MFG,52549,103094,440942,635,[ICW;UVA;JNF]
VXL,84841,209065,833672,1482,[JNF;NAF;TZE;RXS;AQF]
FCU,29974,48279,221440,249,[AQF;PFL]
PUZ,62267,131573,549380,853,[PFL;ZXL;AAY;DIH]
IRM,39692,69932,310378,394,[DIH;BRE]
RJR,71985,162989,666214,1103,[TBX;BRE;JSM;MOS;HMC]
WMI,89552,227236,898712,1635,[HMC;ZMC;VYZ;LSZ]
LGE,49411,94526,407720,571,[LSZ;CKO]
HRR,34685,58409,263506,316,[CKO;YJZ;EBH]
QJW,66977,146433,604959,970,[EBH;BIM;BBC;JEK]
ZBB,99270,266901,1039114,1973,[JEK;XID]
EDS,26836,41915,194515,209,[XID;TLD;EXI;DVK;YMK;MCA]
JGJ,44403,81486,356513,476,[MCA;BGH;HKH;QFY;HWW]
TYO,76695,179273,725861,1236,[HWW;JRV;HYQ;EVI;KPA]
DDX,21829,32394,153364,152,[BPS]
MVC,54121,107502,457915,668,[KPA;HII]
WNG,86414,215055,855168,1532,[HII;KKH;PCN]
WAK,89254,226067,894542,1625,[PCN;FDW;IXX;IBL]
GSP,31547,51585,235266,271,[IBL;KJF]
PKU,63839,136456,567712,892,[RXK;KJF;YLQ]
UML,81406,196250,787490,1375,[YLQ;APV;HFS]
ZPD,98972,265643,1034688,1962,[HFS;RPE]
CEV,18691,26825,128711,120,[RPE;GFW;CKU;VAF;AVC;ZAP]
QZR,68550,151549,623958,1011,[RSZ;ZAP;NAU;CGZ]
MJE,53824,106663,454691,662,[DQQ;CGZ]
VBJ,86116,213915,851081,1523,[CGZ;KIZ;AQA]
FTN,28409,45067,207902,229,[AQA;ETB;LGE;OAW]
KWF,45975,85496,372348,505,[OAW;EJD]
TOK,78268,184865,746218,1281,[QRN;EJD;VNA;PSG;BND]
YQB,95835,252545,988527,1850,[BND;XKP;DKX;SVB]
UBO,81109,195159,783546,1366,[SVB;WLO]
DTS,23401,35299,166044,169,[IPQ;WLO;CNE]
NLX,55694,111989,475117,702,[CNE;SBO;FBP]
IVK,40968,72993,322679,416,[EAA;FBP;IRU;QGM;ZZH]
SNO,73260,167329,682166,1138,[ZZH;HGM;RAR;WWP]
XQG,90827,232273,916655,1677,[WWP;QTJ;SPK;ZQE]
GIL,33119,54965,249304,293,[ZQE;RFY]
QNT,68253,150576,620353,1003,[XUA;RFY;MIF]
AFY,10545,13797,68798,53,[MIF;MZQ;YUM;ZFP;JXO;XLO]
OZU,60404,125886,527943,809,[XLO;PEE;XPK;WGW]
KKH,45678,84732,369339,500,[WGW;NZF]
TCM,77971,183803,742357,1273,[NZF;UQS;BWU;PCF;MIN;SWP]
CUR,20263,29577,140952,135,[SWP;AAB;LAQ;OXS;FEY]
NZZ,55396,111134,471843,696,[FEY;WES;GZX;VYS;JKU]
WRE,87689,219967,872756,1573,[NSN]
KMA,47548,89584,388411,535,[JKU;MNO]
POS,65115,140475,582750,923,[MNO;MCA;DKD]
ZGW,97407,259070,1011550,1906,[DKD;CXG;HAZ;HVF]
URJ,82681,200964,804510,1414,[HVF;AFS]
OOX,60107,124989,524553,802,[VLH;AFS;QYA]
XGB,92399,238553,938978,1730,[QYA;HYH;GAM]
CIT,19966,29051,138623,132,[RPS]
HLK,37533,64868,289893,359,[ZZP]
RDP,69825,155753,639521,1045,[GAM;CXJ]
AVU,12118,16152,79907,64,[RDB;CXJ;EWQ;ZXC;SMJ]
USH,79543,189454,762883,1319,[SMJ;IYS;QFE;JIL]
PCU,64817,139533,579227,916,[KIG;JIL;UVC;BLJ;WOA]
IMD,39402,69244,307603,390,[WOA;QMI;ARF;WNV]
EXQ,24676,37712,176490,183,[QFN]
NPV,56969,115683,489222,730,[WNV;BDN]
BJR,16828,23663,114489,103,[BDN;DVB;ZAP;KGD;JTP;MIY]
XUE,92102,237360,934743,1720,[FBI;MIY;EXN;ABX]
HMI,34395,57765,260859,311,[ABX;YRZ;ZDY]
QEN,66687,145498,601479,963,[FTK;ZDY;BVE]
VGE,84254,206849,825704,1463,[BVE;ITW;DIY;PRE;WGX;PEV]
EZJ,26546,41342,192071,205,[PEV;WXG;HEA;HPV;HDD]
AJW,11820,15700,77786,62,[HDD;ALD]
JBB,44113,80755,353616,471,[ALD;ZDJ;HMD;PVT]
OES,61679,129767,542583,839,[PVT;ZHR;QVQ;WWP;JCJ;URU]
IBG,39105,68541,304768,385,[URU;IEJ;RJG;RVI;OYG]
RTK,71398,161008,658918,1087,[OYG;UGS]
WVC,88964,224931,890488,1615,[UGS;IXT;XQJ;NCO]
BYT,16531,23169,112250,100,[NCO;ZHZ]
LQY,48823,92955,401593,560,[URU;ZHZ;UFZ;WZI;AHF]
QSP,66390,144543,597924,955,[AHF;LBR;LOZ;GJQ]
VVH,83957,205731,821685,1454,[HBZ;GJQ;PGC;FAM;KMO]
OFQ,58541,120307,506813,766,[KMO;WSY;GEY;TYR]
JPD,43816,80009,350656,466,[TYR;ROF]
CZM,18401,26325,126477,117,[ROF;UTH;OIR;KJQ]
YKZ,93675,243706,957255,1774,[KJQ;GCF;UMX;YSW]
HCE,35967,61285,275295,335,[YSW;IWU]
VWA,85826,212807,847109,1513,[IWU;QSE;SFX]
RHN,71100,160007,655228,1079,[HQR;SFX;SWB]
PTN,63252,134623,560841,877,[SWB;RYM;WDH;EGH;QRC;GLU]
UWF,80819,194097,779702,1358,[GLU;VIP;LHY;RVR;ENA]
DOK,23111,34757,163689,166,[ENA;KHV]
IRB,40678,72293,319870,411,[KHV;AEK;EWT;DRH]
TWK,75811,176164,714514,1210,[DRH;MWV]
COP,18103,25815,124189,114,[MWV;EPB;YQS]
LGT,50396,97182,418054,591,[SLN;YQS;PIN]
QIL,67962,149628,616831,996,[PIN;FHF;BDS]
VLC,85529,211676,843048,1504,[IST]
FDH,27821,43880,202873,221,[BDS;EIH]
ANU,13096,17655,86926,72,[EIH;ABE;WNH;CBP;MKS;ZQI]
KFY,45388,83990,366409,494,[CHV;ZQI;TFP;BNU]
PIQ,62955,133700,557376,870,[BNU;SFR;EUJ;PRE]
IFD,40380,71577,316993,406,[PRE;CMO;LNO;CPI;UKH;LSL]
SXI,72673,165325,674804,1122,[LSL;AZU;DYM;EGB;AAT]
BPN,14965,20610,100575,87,[AAT;AKB]
LUW,50099,96378,414929,585,[OLQ;AKB;STZ]
ZOS,99958,269821,1049373,1998,[STZ;VTO;ZEA]
JGW,42250,76120,335184,438,[ZEA;QUO]
OJO,59817,124116,521251,795,[QUO;JGI;SWO;JAG;XIX;SKH]
CEK,19676,28540,136355,130,[SKH;QWI;XQX;RAF;WTJ]
MJT,54809,109455,465412,683,[WTJ;ZHZ;XST;GAD]
WBY,87102,217699,864640,1554,[GAD;KUJ]
GGG,32235,53055,241383,280,[HJR;KUJ;VYW;OYW;JXI]
PYL,64527,138617,575803,909,[JXI;VZE;BKY;KUI]
ZQQ,96820,256624,1002927,1885,[KUI;DVY]
UAD,82094,198788,796656,1396,[DVY;GBU;RSR]
ESH,24386,37159,174101,180,[RSR;TEF;HVG;IFT]
JVZ,41953,75391,332274,433,[IFT;UCV]
GHA,34104,57123,258212,307,[UCV;GRN;IRP;BRC]
CSM,19379,28020,134041,127,[BRC;DRR;ZFM;RPM]
MKR,51671,100666,431559,617,[RPM;FGZ]
RMI,69238,153811,632337,1029,[XAE;FGZ;RYM]
WPA,86804,216553,860535,1545,[RYM;LFG;MSJ;HZM;QPU]
FHF,29097,46469,213827,238,[QPU;OLH]
TBB,78956,187335,755192,1302,[OLH;WOO;PPO;OFE]
DTF,21248,31340,148734,146,[OFE;JEF]
IWX,38815,67857,302007,380,[JEF;HJK;TVC;SXC;RQJ;CJH]
EGJ,24089,36595,171663,177,[CJH;SZJ;ISW;MVP;MZI]
WRT,88674,223797,886442,1606,[MZI;JET;MQZ;VAI]
GWC,33807,56469,255517,303,[VAI;TOH]
LYT,51374,99850,428400,611,[TOH;DHF;VAU;FOF;AWY;SZK]
JLU,43525,79281,347766,460,[SZK;ZVN;JDC;KHJ;ZOG]
TDZ,75818,176189,714604,1210,[ZOG;YZU;DQR;QEJ;RWK]
ONM,61092,127973,535824,825,[YYB]
YFQ,93385,242530,953087,1764,[RWK;STH]
TQD,78659,186267,751313,1293,[STH;DOK;IFX]
DII,20951,30805,146379,142,[IFX;DYS;ODM;GQQ]
WFV,88377,222639,882306,1596,[GQQ;AJS]
BHN,15944,22201,107848,95,[AJS;UZA;LQQ;EUY]
LZR,48236,91397,395506,548,[EUY;QKB]
QCJ,65803,142664,590919,941,[QKB;ONZ;NVU;XTA;IVH;OPE]
ZUO,98095,261950,1021694,1930,[OPE;SYC;LCB;WRA;AVW]
NOK,57954,118571,500219,752,[AVW;TMO;HLK;VIG]
JZW,43228,78540,344822,455,[VIG;NWZ]
CJG,17813,25322,121970,112,[HBC;NWZ;TEZ;BRD;VQH]
YTS,93087,241326,948816,1754,[VQH;ATB;GBU;DRY]
HLX,35380,59962,269879,326,[DRY;TBR]
QEC,67672,148684,613327,988,[TBR;MJG;LDX;WFB]
MOP,52946,104201,445209,643,[WFB;UHN;CQN;KJH;MNB;RVJ]
AJL,12806,17206,84836,70,[MLI;RVJ;LWC;EJX]
FLC,30372,49108,224918,254,[EJX;NRQ;GXO;CQY;QRQ;FBZ]
DYD,22524,33669,158943,159,[FBZ;FCW;BOF;ZWD;BTC]
SSZ,72383,164338,671177,1114,[BTC;VMM;HPK;TVC]
NDM,57657,117697,496894,746,[TVC;ANZ]
XVR,89949,228800,904286,1648,[ANZ;CZV;MSR;WYR;SGR;PBU]
HAZ,35083,59296,267150,322,[PBU;LXZ;YYP;XTV;GYR]
QSE,67375,147720,609745,981,[GYR;SUW;KJI;BFC;QRE]
KPS,44801,82494,360501,483,[QRE;PHE]
HBT,36952,63530,284452,350,[PHE;CRP;MUI]
DMF,22227,33122,156554,156,[MUI;UPQ;FVW;SSC]
BYG,14378,19670,96254,82,[SSC;CYN]
XJT,89652,227630,900116,1638,[CYN;JMH;DEL;RWK]
GBY,31945,52433,238799,276,[RWK;VOU]
UWU,81804,197716,792787,1387,[AVO;VOU;JQB;WMH;MPO]
EBD,26937,42115,195368,210,[MPO;BRX;OKF;MSU]
XLM,91522,235040,926497,1701,[MSU;ERF;RKY;YHV;EKH;KDD]
HQV,36655,62850,281682,346,[KDD;TCA;DNB;GPR;DJA]
BNI,14081,19199,94080,79,[DJA;ZGQ;CKA;YWX;CMS]
KFN,46373,86523,376391,512,[CMS;LMX]
UKW,81507,196621,788832,1378,[LMX;TTG;PRP]
DCB,23799,36047,169289,173,[PRP;BRV;AXE;AXD]
XZO,91225,233855,922285,1691,[AXD;SOS]
LTL,51084,99056,425323,605,[SOS;VKA;XQY;CGP;YIM;RLY]
VLP,83376,203555,813848,1436,[RLY;SZA;VOI]
QWC,68650,151877,625175,1014,[VOI;JMQ;XBS;JAC]
AOH,10943,14386,71588,56,[JAC;HUS;LWW;HHP;GSM;PKU]
JGL,43235,78558,344892,455,[PKU;TPJ;JBP;BEP;ZUE]
OJD,60802,127092,532497,818,[ZUE;OJX]
KTP,46076,85756,373372,507,[OJX;KGK;TIK;YZL]
YOM,95935,252959,989988,1853,[YZL;RLH]
RYV,70520,158065,648065,1063,[RLH;NTG;BHV;LSF;IHQ;WKW]
NII,55794,112277,476219,704,[WKW;QYS]
SLZ,73361,167675,683435,1141,[QYS;EFW;MHW;LFI;COI;BKC]
BDE,15653,21725,105677,93,[BKC;RNW;SUW;JRB;MNS]
KVJ,47946,90631,392510,542,[MNS;OEZ;QDF;KLM;JOU]
VAR,83079,202446,809852,1427,[JOU;DZY]
ESW,25372,39050,182252,191,[DZY;PNA;WNK;WFM]
OXF,60505,126191,529096,811,[WFM;YXL;HAF;PRH;JFJ;CDW]
XPK,92797,240155,944664,1744,[BAA;CDW;GEM;TTB]
IUT,37931,65790,293638,366,[TTB;PMQ;QKX;CVH;PTA;SMH]
RMX,70223,157075,644408,1055,[SMH;OOF;EKH;AQH;TGB]
FGU,30082,48504,222382,251,[TGB;YGN;BNI;NAQ]
KJL,47649,89849,389449,537,[NAQ;GSV]
IWM,39800,70189,311414,396,[GSV;XPO;IOC;UPB;MEQ;YJG]
EGY,25074,38476,179780,188,[YJG;RUV;WQZ;LUY;GOX]
SBV,74933,173101,703317,1185,[GOX;CGW;EIA;GPU;AEN]
XDM,92500,238959,940419,1734,[AEN;CFO]
HVR,34793,58649,264493,317,[CFO;SPR;JXU]
VQN,84652,208350,831102,1476,[JXU;ZEQ;JMQ;YPY]
FVW,29785,47887,219793,247,[YPY;JHC]
PNA,62077,130988,547182,849,[JHC;CPB;KJB;WTF]
YFF,94370,246534,967272,1798,[WTF;UQD]
IKO,39503,69483,308568,391,[UQD;VQJ;DHO;VMB;GUA;WSV]
RCT,71795,162347,663851,1098,[WSV;JEN;DXM;DKG;MGA]
CHC,16929,23832,115252,104,[MGA;BQP;KTJ;DPJ]
LZG,49221,94017,405737,567,[DPJ;BZP]
ZTD,99080,266099,1036292,1966,[BZP;FUY;CYO;QTU;AXM;IRI]
VEP,84354,207226,827062,1467,[IRI;VRG]
EWU,26647,41541,192921,207,[VRG;UJL]
CJV,18798,27010,129538,121,[UJL;FTO;RXM]
YTH,94073,245323,962985,1788,[RXM;IUS;GOE;TCR]
HLM,36365,62188,278985,341,[TCR;THR]
MOE,53932,106968,455862,664,[THR;ZFU;QOU;FZQ]
RQV,71498,161345,660161,1090,[FZQ;WIC;OEF;OER]
BIA,13791,18741,91965,77,[OER;ODA]
PDW,63650,135864,565495,887,[ODA;UHY;NZU;WHM]
ZIF,98783,264844,1031880,1955,[FBZ;WHM;SAH;XWE;OQD]
TFS,76209,177561,719613,1222,[OQD;SES;UNW;LUK]
CXX,18501,26498,127247,118,[LUK;AXN]
LPC,50794,98264,422254,599,[AXN;BKW;ESZ;TDT;BQJ;YBI]
VUL,85927,213192,848490,1517,[YBI;DWH;DIF;GWA;WJM]
FMP,28219,44682,206274,226,[WJM;VPT;OZP;BHS]
PRY,63353,134937,562020,880,[BHS;UYV]
YJD,95645,251762,985762,1843,[UYV;KQJ;YJG;EUB;IIB;UHB]
IOM,40778,72535,320839,413,[UHB;KRK;AQO;IXI;EMP]
SGQ,73071,166682,679791,1133,[EMP;JWS;FYI;GDY;OLP]
BYV,15363,21253,103521,90,[OLP;DEH]
GBN,32930,54554,247604,290,[DEH;TQD;MNK]
LDE,50497,97456,419118,593,[MNK;YVQ;YAO;NXA]
JQF,42648,77101,339096,445,[NXA;WAW]
OSW,60215,125314,525784,805,[WAW;XGM;UBS;LBI]
TVO,77781,183126,739893,1267,[LBI;JCF]
HPK,37640,65116,290900,361,[SSZ;JCF;DMT;WSV;TJE]
NSB,55207,110592,469768,691,[TJE;ANR;DSW;ULA]
WKG,87499,219233,870128,1567,[ULA;ABV]
GPP,32633,53912,244940,286,[MOM;ABV]
PHU,64925,139874,580503,918,[ABV;MQP;JFB]
ZZY,97218,258281,1008768,1899,[PSE;JFB;GBG]
JEH,42351,76369,336175,440,[GBG;IFD;SXL;TJF;KQR;MRF]
SWM,74643,172094,699633,1177,[ZQK;MRF;QTL;ZAV]
CBV,19777,28717,137144,131,[ZAV;BDA;BGD;PRV;UFO;DEO]
